Zone,Area,2024-11-04 to 2024-11-11,2024-11-11 to 2024-11-18,2024-11-18 to 2024-11-25,2024-11-25 to 2024-12-02,2024-12-02 to 2024-12-09,2024-12-09 to 2024-12-16
ZONE_5,B. Vista (Sp 2),1934.00,567.00,2743.00,1322.00,1492.00,4716.00
ZONE_5,Harbor (1),1799.00,2995.00,17224.00,4796.00,20473.00,838.00
ZONE_5,Sweetwater (1),1295.00,19.00,53.00,84.00,33.00,0.00
ZONE_5,South Bay (Sp 3),769.00,2927.00,2128.00,2554.00,593.00,361.00
ZONE_5,Otay Lakes,0.00,0.00,162.00,0.00,4924.00,0.00
ZONE_5,South Bay (Sp 2),2748.00,12307.00,3020.00,18399.00,11754.00,0.00
ZONE_5,CV 1st (1),6200.00,1292.00,1481.00,854.00,2821.00,2886.00
ZONE_5,Harbor (2),956.00,840.00,7975.00,4946.00,10519.00,73.00
ZONE_5,South Bay (Sp 1),1679.00,5059.00,3952.00,5994.00,10014.00,1041.00
ZONE_5,B. Vista (Sp 1),857.00,1539.00,92.00,431.00,1320.00,34.00
ZONE_5,Imperial Beach,8376.00,5101.00,19380.00,28096.00,20179.00,4765.00
ZONE_5,CV 3rd,67.00,190.00,939.00,930.00,2862.00,0.00
ZONE_5,Sweetwater (2),5022.00,1385.00,1924.00,1019.00,7383.00,4748.00
ZONE_5,B. Vista (Sp 3),9344.00,8840.00,4580.00,18442.00,9407.00,3646.00
ZONE_5,Otay Lakes (2),2625.00,416.00,0.00,17.00,2988.00,267.00
ZONE_5,SDB YSA/MCRD,0.00,2239.00,191.00,3740.00,4759.00,0.00
ZONE_5,CV 1st (2),765.00,4866.00,635.00,10665.00,3207.00,3.00
ZONE_4,SD 1st (2),1549.00,976.00,3756.00,627.00,810.00,182.00
ZONE_4,Clairemont,3552.00,4446.00,3721.00,901.00,1377.00,0.00
ZONE_4,SD 1st (1),8730.00,1717.00,5546.00,10735.00,1643.00,0.00
ZONE_4,Colina del Sol (Sp 2),972.00,766.00,1086.00,4114.00,3108.00,1461.00
ZONE_4,Colina del Sol (Sp 3),6431.00,2227.00,3738.00,4710.00,1383.00,776.00
ZONE_4,Point Loma,7182.00,3935.00,327.00,2473.00,11369.00,1200.00
ZONE_4,Colina del Sol (Sp 1),198.00,174.00,745.00,298.00,698.00,60.00
ZONE_4,La Jolla YSA (1),12858.00,0.00,1479.00,2430.00,291.00,0.00
ZONE_4,SD 1st (3),10499.00,814.00,185.00,590.00,1539.00,1.00
ZONE_4,Colina del Sol (Sp 4),38.00,0.00,11.00,13.00,95.00,130.00
ZONE_4,La Jolla YSA (2),52.00,1390.00,1419.00,0.00,0.00,2887.00
ZONE_4,UC,737.00,143.00,87.00,1285.00,53.00,1010.00
ZONE_4,Pacific Beach,35.00,534.00,16.00,4.00,48.00,20.00
